2025-08-16 15:48:08,418 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:49:56,100 - INFO - ============================================================
2025-08-16 15:49:56,110 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:49:56,110 - INFO - 清空基金基本信息...
2025-08-16 15:49:56,188 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:03,010 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:03,035 - ERROR - ✗ 插入基金基本信息失败: 'stock_code'
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - 📊 本周数据更新统计
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - ⏱️  更新耗时: 0:00:06.937023
2025-08-16 15:50:03,038 - INFO - ✅ 无错误
2025-08-16 15:50:03,038 - INFO - ============================================================
2025-08-16 15:50:03,038 - INFO - 🎉 本周数据更新完成！
2025-08-16 15:50:03,038 - INFO - 数据库连接已关闭
2025-08-16 15:50:03,039 - INFO - ✅ 每周数据更新成功完成
2025-08-16 15:50:48,059 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:50:48,059 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:50:48,060 - INFO - ============================================================
2025-08-16 15:50:48,060 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:50:48,060 - INFO - 清空基金基本信息...
2025-08-16 15:50:48,177 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:55,108 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:55,192 - WARNING - 处理基金 000188 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,194 - WARNING - 处理基金 000189 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,195 - WARNING - 处理基金 000190 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,198 - WARNING - 处理基金 000191 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,199 - WARNING - 处理基金 000192 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,201 - WARNING - 处理基金 000194 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,204 - WARNING - 处理基金 000195 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,205 - WARNING - 处理基金 000196 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,207 - WARNING - 处理基金 000197 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,208 - WARNING - 处理基金 000198 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,210 - WARNING - 处理基金 000199 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,212 - WARNING - 处理基金 000200 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,214 - WARNING - 处理基金 000201 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,215 - WARNING - 处理基金 000203 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,218 - WARNING - 处理基金 000204 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,220 - WARNING - 处理基金 000205 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,221 - WARNING - 处理基金 000206 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,222 - WARNING - 处理基金 000207 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,226 - WARNING - 处理基金 000208 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,228 - WARNING - 处理基金 000209 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,229 - WARNING - 处理基金 000210 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,232 - WARNING - 处理基金 000211 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,234 - WARNING - 处理基金 000212 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,236 - WARNING - 处理基金 000213 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,237 - WARNING - 处理基金 000214 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,240 - WARNING - 处理基金 000215 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,242 - WARNING - 处理基金 000216 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,244 - WARNING - 处理基金 000217 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,246 - WARNING - 处理基金 000218 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,248 - WARNING - 处理基金 000219 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,250 - WARNING - 处理基金 000220 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,253 - WARNING - 处理基金 000221 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,255 - WARNING - 处理基金 000222 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,257 - WARNING - 处理基金 000227 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,259 - WARNING - 处理基金 000235 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,261 - WARNING - 处理基金 000236 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,264 - WARNING - 处理基金 000239 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,266 - WARNING - 处理基金 000240 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,268 - WARNING - 处理基金 000241 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,270 - WARNING - 处理基金 000242 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,272 - WARNING - 处理基金 000244 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,272 - WARNING - 处理基金 000245 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,277 - WARNING - 处理基金 000248 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,279 - WARNING - 处理基金 000251 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,281 - WARNING - 处理基金 000252 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,284 - WARNING - 处理基金 000253 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,287 - WARNING - 处理基金 000254 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,288 - WARNING - 处理基金 000255 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,291 - WARNING - 处理基金 000259 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,293 - WARNING - 处理基金 000263 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,295 - WARNING - 处理基金 000264 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,299 - WARNING - 处理基金 000265 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,301 - WARNING - 处理基金 000266 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,303 - WARNING - 处理基金 000267 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,305 - WARNING - 处理基金 000268 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,307 - WARNING - 处理基金 000270 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,310 - WARNING - 处理基金 000271 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,313 - WARNING - 处理基金 000272 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,317 - WARNING - 处理基金 000273 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,320 - WARNING - 处理基金 000274 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,323 - WARNING - 处理基金 000275 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,325 - WARNING - 处理基金 000277 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,327 - WARNING - 处理基金 000279 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,330 - WARNING - 处理基金 000286 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,333 - WARNING - 处理基金 000289 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,335 - WARNING - 处理基金 000290 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,338 - WARNING - 处理基金 000294 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,341 - WARNING - 处理基金 000295 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,343 - WARNING - 处理基金 000296 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,345 - WARNING - 处理基金 000297 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,348 - WARNING - 处理基金 000298 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,351 - WARNING - 处理基金 000299 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,354 - WARNING - 处理基金 000300 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,355 - WARNING - 处理基金 000301 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,358 - WARNING - 处理基金 000305 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,360 - WARNING - 处理基金 000306 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,363 - WARNING - 处理基金 000307 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,366 - WARNING - 处理基金 000308 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,369 - WARNING - 处理基金 000309 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,371 - WARNING - 处理基金 000310 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,374 - WARNING - 处理基金 000311 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,375 - WARNING - 处理基金 000312 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,378 - WARNING - 处理基金 000313 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,382 - WARNING - 处理基金 000314 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,384 - WARNING - 处理基金 000319 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,386 - WARNING - 处理基金 000320 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,389 - WARNING - 处理基金 000322 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,391 - WARNING - 处理基金 000324 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,395 - WARNING - 处理基金 000325 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,397 - WARNING - 处理基金 000326 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,398 - WARNING - 处理基金 000327 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,402 - WARNING - 处理基金 000328 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,405 - WARNING - 处理基金 000329 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,406 - WARNING - 处理基金 000330 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,410 - WARNING - 处理基金 000331 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,413 - WARNING - 处理基金 000332 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,414 - WARNING - 处理基金 000333 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,419 - WARNING - 处理基金 000334 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,421 - WARNING - 处理基金 000335 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,422 - WARNING - 处理基金 000336 失败: (1406, "Data too long for column 'fund_type' at row 1")
