2025-08-02 07:01:07,061 - INFO - 🌟 每日数据更新程序启动
2025-08-02 07:01:07,067 - INFO - 🚀 开始每日数据更新...
2025-08-02 07:01:07,067 - INFO - ============================================================
2025-08-02 07:01:07,088 - INFO - ✅ 成功连接到MySQL数据库
2025-08-02 07:01:07,088 - INFO - 清空同花顺的概念代码信息...
2025-08-02 07:01:07,093 - INFO - 🚀 开始获取ADATA所有同花顺的概念代码信息...
2025-08-02 07:01:07,992 - INFO - 📊 获取到 399 只概念代码信息
2025-08-02 07:01:08,072 - WARNING - 处理只概念代码信息东数西算(算力) 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,075 - WARNING - 处理只概念代码信息智慧政务 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,077 - WARNING - 处理只概念代码信息重组蛋白 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,079 - WARNING - 处理只概念代码信息电子纸 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,081 - WARNING - 处理只概念代码信息幽门螺杆菌概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,083 - WARNING - 处理只概念代码信息预制菜 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,086 - WARNING - 处理只概念代码信息虚拟数字人 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,089 - WARNING - 处理只概念代码信息柔性直流输电 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,091 - WARNING - 处理只概念代码信息DRG/DIP 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,093 - WARNING - 处理只概念代码信息传感器 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,095 - WARNING - 处理只概念代码信息汽车芯片 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,097 - WARNING - 处理只概念代码信息动力电池回收 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,099 - WARNING - 处理只概念代码信息EDR概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,102 - WARNING - 处理只概念代码信息数据安全 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,105 - WARNING - 处理只概念代码信息WiFi6 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,107 - WARNING - 处理只概念代码信息海峡两岸 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,109 - WARNING - 处理只概念代码信息换电概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,111 - WARNING - 处理只概念代码信息培育钻石 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,113 - WARNING - 处理只概念代码信息绿色电力 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,116 - WARNING - 处理只概念代码信息抽水蓄能 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,119 - WARNING - 处理只概念代码信息元宇宙 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,122 - WARNING - 处理只概念代码信息NFT概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,124 - WARNING - 处理只概念代码信息PVDF概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,126 - WARNING - 处理只概念代码信息工业母机 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,128 - WARNING - 处理只概念代码信息专精特新 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,131 - WARNING - 处理只概念代码信息钠离子电池 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,133 - WARNING - 处理只概念代码信息CRO概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,136 - WARNING - 处理只概念代码信息牙科医疗 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,138 - WARNING - 处理只概念代码信息MCU芯片 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,141 - WARNING - 处理只概念代码信息共同富裕示范区 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,143 - WARNING - 处理只概念代码信息鸿蒙概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,145 - WARNING - 处理只概念代码信息盐湖提锂 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,148 - WARNING - 处理只概念代码信息储能 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,150 - WARNING - 处理只概念代码信息光伏建筑一体化 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,153 - WARNING - 处理只概念代码信息碳中和 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,156 - WARNING - 处理只概念代码信息快手概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,158 - WARNING - 处理只概念代码信息同花顺漂亮100 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,161 - WARNING - 处理只概念代码信息物业管理 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,164 - WARNING - 处理只概念代码信息煤炭概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,166 - WARNING - 处理只概念代码信息医美概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,169 - WARNING - 处理只概念代码信息有机硅概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,172 - WARNING - 处理只概念代码信息社区团购 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,174 - WARNING - 处理只概念代码信息拼多多概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,177 - WARNING - 处理只概念代码信息辅助生殖 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,180 - WARNING - 处理只概念代码信息第三代半导体 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,183 - WARNING - 处理只概念代码信息科创次新股 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,185 - WARNING - 处理只概念代码信息注册制次新股 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
